Calendar Year,Measure,Age Filter,Users,Users Annotation code,Users Annotation Description,Denominator (3 Months Continuous Eligibility),Denominator Annotation code,Denominator Annotation Description,Utilization %,Utilization Annotation code,Utilization Annotation Description
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 6-9,"531,974",,,"1,108,841",,,47.98%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 75+,"4,089",,,"480,125",,,0.85%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"3,400",,,"255,231",,,1.33%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"663,620",,,"1,281,797",,,51.77%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"128,869",,,"583,913",,,22.07%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"403,463",,,"957,425",,,42.14%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"109,309",,,"407,137",,,26.85%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"325,759",,,"1,925,514",,,16.92%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"462,440",,,"867,880",,,53.28%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"182,498",,,"909,270",,,20.07%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"447,645",,,"1,986,045",,,22.54%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"115,748",,,"532,932",,,21.72%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"696,040",,,"1,180,883",,,58.94%,,
CY 2014,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"94,635",,,"496,713",,,19.05%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age <1,16,,,"255,231",,,0.01%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 10-14,"561,792",,,"1,281,797",,,43.83%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 1-2,"1,588",,,"583,913",,,0.27%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 15-18,"333,877",,,"957,425",,,34.87%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 19-20,"88,699",,,"407,137",,,21.79%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 21-34,"208,471",,,"1,925,514",,,10.83%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 3-5,"385,088",,,"867,880",,,44.37%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 35-44,"116,442",,,"909,270",,,12.81%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 45-64,"280,357",,,"1,986,045",,,14.12%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 65-74,"74,606",,,"532,932",,,14.00%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 6-9,"589,278",,,"1,180,883",,,49.90%,,
CY 2014,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 75+,"59,846",,,"496,713",,,12.05%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age <1,135,,,"255,231",,,0.05%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 10-14,"298,180",,,"1,281,797",,,23.26%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 1-2,"17,879",,,"583,913",,,3.06%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 15-18,"192,344",,,"957,425",,,20.09%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 19-20,"54,835",,,"407,137",,,13.47%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 21-34,"174,456",,,"1,925,514",,,9.06%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 3-5,"181,856",,,"867,880",,,20.95%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 35-44,"96,452",,,"909,270",,,10.61%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 45-64,"233,088",,,"1,986,045",,,11.74%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 65-74,"66,003",,,"532,932",,,12.38%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 6-9,"354,751",,,"1,180,883",,,30.04%,,
CY 2014,Use of Dental Treatment Services (D2000 - D9999),Age 75+,"61,973",,,"496,713",,,12.48%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age <1,683,,,"255,231",,,0.27%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 10-14,"555,465",,,"1,281,797",,,43.33%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 1-2,"84,060",,,"583,913",,,14.40%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 15-18,"320,334",,,"957,425",,,33.46%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 19-20,"80,468",,,"407,137",,,19.76%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 21-34,"152,889",,,"1,925,514",,,7.94%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 3-5,"371,506",,,"867,880",,,42.81%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 35-44,"78,505",,,"909,270",,,8.63%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 45-64,"170,989",,,"1,986,045",,,8.61%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 65-74,"45,490",,,"532,932",,,8.54%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 6-9,"584,648",,,"1,180,883",,,49.51%,,
CY 2014,Use of Preventive Services (D1000 - D1999),Age 75+,"34,734",,,"496,713",,,6.99%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age <1,,1,Cell suppressed for small numbers,"255,231",,,,1,Cell suppressed for small numbers
CY 2014,Use of Restorative Services (D2000 - D2999),Age 10-14,"219,276",,,"1,281,797",,,17.11%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 1-2,,2,Cell suppressed for complementary cell,"583,913",,,,2,Cell suppressed for complementary cell
CY 2014,Use of Restorative Services (D2000 - D2999),Age 15-18,"150,436",,,"957,425",,,15.71%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 19-20,"39,422",,,"407,137",,,9.68%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 21-34,"104,068",,,"1,925,514",,,5.40%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 3-5,"163,868",,,"867,880",,,18.88%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 35-44,"53,831",,,"909,270",,,5.92%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 45-64,"104,800",,,"1,986,045",,,5.28%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 65-74,"24,517",,,"532,932",,,4.60%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 6-9,"282,606",,,"1,180,883",,,23.93%,,
CY 2014,Use of Restorative Services (D2000 - D2999),Age 75+,"16,137",,,"496,713",,,3.25%,,
CY 2014,Use of Sealant (D1351),Age <1,,3,No data available,"255,231",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 10-14,"115,560",,,"1,281,797",,,9.02%,,
CY 2014,Use of Sealant (D1351),Age 1-2,,3,No data available,"583,913",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 15-18,,3,No data available,"957,425",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 19-20,,3,No data available,"407,137",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 21-34,,3,No data available,"1,925,514",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 3-5,,3,No data available,"867,880",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 35-44,,3,No data available,"909,270",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 45-64,,3,No data available,"1,986,045",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 65-74,,3,No data available,"532,932",,,,3,No data available
CY 2014,Use of Sealant (D1351),Age 6-9,"201,053",,,"1,180,883",,,17.03%,,
CY 2014,Use of Sealant (D1351),Age 75+,,3,No data available,"496,713",,,,3,No data available
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age <1,640,,,"255,231",,,0.25%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 10-14,"539,255",,,"1,281,797",,,42.07%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 1-2,"80,496",,,"583,913",,,13.79%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 15-18,"304,312",,,"957,425",,,31.78%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 19-20,"73,576",,,"407,137",,,18.07%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 21-34,"141,022",,,"1,925,514",,,7.32%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 3-5,"365,820",,,"867,880",,,42.15%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 35-44,"71,216",,,"909,270",,,7.83%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 45-64,"146,381",,,"1,986,045",,,7.37%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 65-74,"35,825",,,"532,932",,,6.72%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 6-9,"577,470",,,"1,180,883",,,48.90%,,
CY 2014,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 75+,"25,873",,,"496,713",,,5.21%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"4,027",,,"250,364",,,1.61%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"687,170",,,"1,335,627",,,51.45%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"139,608",,,"591,362",,,23.61%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"414,943",,,"994,141",,,41.74%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"125,824",,,"465,822",,,27.01%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"464,498",,,"2,463,261",,,18.86%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"456,899",,,"871,749",,,52.41%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"240,012",,,"1,105,194",,,21.72%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"570,852",,,"2,305,484",,,24.76%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"146,139",,,"590,549",,,24.75%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"706,453",,,"1,212,991",,,58.24%,,
CY 2015,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"113,636",,,"518,590",,,21.91%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age <1,42,,,"250,364",,,0.02%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 10-14,"575,675",,,"1,335,627",,,43.10%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 1-2,"1,609",,,"591,362",,,0.27%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 15-18,"337,525",,,"994,141",,,33.95%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 19-20,"100,275",,,"465,822",,,21.53%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 21-34,"297,850",,,"2,463,261",,,12.09%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 3-5,"380,346",,,"871,749",,,43.63%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 35-44,"146,679",,,"1,105,194",,,13.27%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 45-64,"326,867",,,"2,305,484",,,14.18%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 65-74,"83,495",,,"590,549",,,14.14%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 6-9,"594,022",,,"1,212,991",,,48.97%,,
CY 2015,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 75+,"63,532",,,"518,590",,,12.25%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age <1,200,,,"250,364",,,0.08%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 10-14,"300,862",,,"1,335,627",,,22.53%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 1-2,"16,479",,,"591,362",,,2.79%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 15-18,"192,552",,,"994,141",,,19.37%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 19-20,"61,626",,,"465,822",,,13.23%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 21-34,"242,348",,,"2,463,261",,,9.84%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 3-5,"170,400",,,"871,749",,,19.55%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 35-44,"122,659",,,"1,105,194",,,11.10%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 45-64,"299,007",,,"2,305,484",,,12.97%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 65-74,"85,005",,,"590,549",,,14.39%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 6-9,"350,875",,,"1,212,991",,,28.93%,,
CY 2015,Use of Dental Treatment Services (D2000 - D9999),Age 75+,"76,348",,,"518,590",,,14.72%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age <1,816,,,"250,364",,,0.33%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 10-14,"568,359",,,"1,335,627",,,42.55%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 1-2,"92,363",,,"591,362",,,15.62%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 15-18,"322,000",,,"994,141",,,32.39%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 19-20,"89,598",,,"465,822",,,19.23%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 21-34,"220,996",,,"2,463,261",,,8.97%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 3-5,"365,279",,,"871,749",,,41.90%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 35-44,"99,796",,,"1,105,194",,,9.03%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 45-64,"206,370",,,"2,305,484",,,8.95%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 65-74,"52,916",,,"590,549",,,8.96%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 6-9,"589,225",,,"1,212,991",,,48.58%,,
CY 2015,Use of Preventive Services (D1000 - D1999),Age 75+,"39,133",,,"518,590",,,7.55%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age <1,,1,Cell suppressed for small numbers,"250,364",,,,1,Cell suppressed for small numbers
CY 2015,Use of Restorative Services (D2000 - D2999),Age 10-14,"218,794",,,"1,335,627",,,16.38%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 1-2,,2,Cell suppressed for complementary cell,"591,362",,,,2,Cell suppressed for complementary cell
CY 2015,Use of Restorative Services (D2000 - D2999),Age 15-18,"147,023",,,"994,141",,,14.79%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 19-20,"43,149",,,"465,822",,,9.26%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 21-34,"157,617",,,"2,463,261",,,6.40%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 3-5,"152,089",,,"871,749",,,17.45%,,
